,Python_Score,ML_Score,NLP_Score,DL_Score,Num_of_Skills,PG_Score,UG_Score,12_Score,10_Score,availability,score
246,1.0,1.0,1.0,1.0,0.4126984126984127,0.8160000000000001,0.8099999999999999,1.0,1.0,1,0.8832349206349206
1073,1.0,1.0,1.0,1.0,0.1746031746031746,0.7286,0.8130000000000001,1.0,1.0,1,0.8628901587301587
767,1.0,1.0,1.0,1.0,0.31746031746031744,0.0,0.892,1.0,1.0,1,0.8050730158730158
116,1.0,1.0,1.0,0.6666666666666666,0.3968253968253968,0.0,1.0,1.0,1.0,1,0.7865079365079365
445,1.0,1.0,0.6666666666666666,0.6666666666666666,0.9841269841269841,0.0,0.9400000000000001,1.0,1.0,1,0.7765396825396825
1039,1.0,1.0,0.6666666666666666,1.0,0.1746031746031746,0.0,0.9119999999999999,1.0,1.0,1,0.7665968253968254
957,1.0,1.0,1.0,0.6666666666666666,0.2857142857142857,0.0,0.8560000000000001,1.0,1.0,1,0.766552380952381
106,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5238095238095237,0.0,0.975,1.0,1.0,1,0.7570238095238094
640,1.0,1.0,0.6666666666666666,1.0,0.2222222222222222,0.0,0.75,1.0,1.0,1,0.7527777777777778
359,1.0,1.0,0.6666666666666666,0.0,0.1746031746031746,0.95,0.8009999999999999,1.0,1.0,1,0.7504968253968254
421,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25396825396825395,0.6640999999999999,0.7018000000000001,1.0,1.0,1,0.7492884126984126
586,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.12698412698412698,0.754,0.63,1.0,1.0,1,0.7447492063492063
404,1.0,1.0,0.6666666666666666,0.6666666666666666,0.1746031746031746,0.0,0.9109999999999999,1.0,1.0,1,0.7331634920634921
448,0.6666666666666666,1.0,0.6666666666666666,1.0,0.2698412698412698,0.0,0.851,1.0,1.0,1,0.7319253968253968
1031,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1746031746031746,0.673,0.891,1.0,1.0,1,0.7317968253968254
406,1.0,1.0,0.6666666666666666,0.0,0.09523809523809523,0.8800000000000001,0.6940000000000001,1.0,1.0,1,0.7288285714285714
292,1.0,1.0,0.6666666666666666,0.6666666666666666,0.36507936507936506,0.0,0.73,1.0,1.0,1,0.7245873015873016
853,0.6666666666666666,1.0,1.0,0.6666666666666666,0.25396825396825395,0.0,0.705,1.0,1.0,1,0.7165317460317461
862,1.0,1.0,1.0,1.0,0.47619047619047616,0.0,0.925,1.0,1.0,0,0.7163095238095238
620,1.0,1.0,0.0,1.0,0.3492063492063492,0.0,0.953,1.0,1.0,1,0.7127603174603174
656,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25396825396825395,0.0,1.0,1.0,1.0,1,0.7126984126984126
1000,1.0,1.0,1.0,1.0,0.19047619047619047,0.0,1.0,1.0,0.0,1,0.7095238095238096
1084,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.907,1.0,1.0,1,0.7073666666666666
561,1.0,1.0,0.6666666666666666,0.6666666666666666,0.1746031746031746,0.0,0.64,1.0,1.0,1,0.7060634920634921
